央视频道,#genre#
极速汽车,http://106.8.124.109:4022/rtp/239.254.201.168:6362
足球频道,http://106.8.124.109:4022/rtp/239.254.201.169:6341
体育赛事,http://106.8.124.109:4022/rtp/239.254.201.170:8176
央视台球,http://106.8.124.109:4022/rtp/239.254.201.171:7176
冰雪体育,http://106.8.124.109:4022/rtp/239.254.201.172:7244
马拉松,http://106.8.124.109:4022/rtp/239.254.201.173:7246
每日健身,http://106.8.124.109:4022/rtp/239.254.201.174:7245
音像世界（DOXTV）,http://106.8.124.109:4022/rtp/239.254.201.175:7243
求索纪录,http://106.8.124.109:4022/rtp/239.254.201.176:7221
陶瓷,http://106.8.124.109:4022/rtp/239.254.201.21:7175
七彩戏剧,http://106.8.124.109:4022/rtp/239.254.201.180:7213
东方财经,http://106.8.124.109:4022/rtp/239.254.201.181:7214
金色学堂,http://106.8.124.109:4022/rtp/239.254.201.182:7227
法治天地,http://106.8.124.109:4022/rtp/239.254.201.183:7226
中华特产,http://106.8.124.109:4022/rtp/239.254.201.184:6263
四海钓鱼,http://106.8.124.109:4022/rtp/239.254.201.185:6363
优优宝贝,http://106.8.124.109:4022/rtp/239.254.201.186:6272
生态环境,http://106.8.124.109:4022/rtp/239.254.201.187:6226
家庭理财,http://106.8.124.109:4022/rtp/239.254.201.188:6366
财富天下,http://106.8.124.109:4022/rtp/239.254.200.124:6370
中华美食,http://106.8.124.109:4022/rtp/239.254.201.189:7171
电视指南,http://106.8.124.109:4022/rtp/239.254.201.217:7250
第一剧场,http://106.8.124.109:4022/rtp/239.254.201.218:7258
风云剧场,http://106.8.124.109:4022/rtp/239.254.201.219:7257
怀旧剧场,http://106.8.124.109:4022/rtp/239.254.201.220:7256
风云音乐,http://106.8.124.109:4022/rtp/239.254.201.221:7259
风云足球,http://106.8.124.109:4022/rtp/239.254.201.222:7251
高尔夫网球,http://106.8.124.109:4022/rtp/239.254.201.223:7252
武术世界,http://106.8.124.109:4022/rtp/239.254.201.224:7229
兵器科技,http://106.8.124.109:4022/rtp/239.254.201.225:7249
世界地理,http://106.8.124.109:4022/rtp/239.254.201.226:7254
文物宝库,http://106.8.124.109:4022/rtp/239.254.201.227:7230
女性时尚,http://106.8.124.109:4022/rtp/239.254.201.228:7255
文化精品,http://106.8.124.109:4022/rtp/239.254.201.229:7260
早期教育,http://106.8.124.109:4022/rtp/239.254.201.230:7253
梨园,http://106.8.124.109:4022/rtp/239.254.201.231:7228
CGTN英文记录,http://106.8.124.109:4022/rtp/239.254.201.208:4220
CGTN西班牙语,http://106.8.124.109:4022/rtp/239.254.201.209:4220
CGTN法语,http://106.8.124.109:4022/rtp/239.254.201.210:4220
CGTN阿拉伯语,http://106.8.124.109:4022/rtp/239.254.201.211:4220
CGTN俄语,http://106.8.124.109:4022/rtp/239.254.201.212:4220
中国交通频道,http://106.8.124.109:4022/rtp/239.254.201.110:5181
元氏电视,http://106.8.124.109:4022/rtp/239.254.200.191:5169
无极电视,http://106.8.124.109:4022/rtp/239.254.200.220:5167
高邑电视,http://106.8.124.109:4022/rtp/239.254.201.24:5170
栾城电视,http://106.8.124.109:4022/rtp/239.254.200.215:5173
井陉矿区电视,http://106.8.124.109:4022/rtp/239.254.201.14:5175
赞皇电视,http://106.8.124.109:4022/rtp/239.254.200.244:5177
深泽电视,http://106.8.124.109:4022/rtp/239.254.201.108:5180
赵县电视,http://106.8.124.109:4022/rtp/239.254.201.111:5183
晋州电视,http://106.8.124.109:4022/rtp/239.254.201.127:5184
井陉电视,http://106.8.124.109:4022/rtp/239.254.201.215:6167
平泉电视,http://106.8.124.109:4022/rtp/239.254.200.177:5286
滦平电视,http://106.8.124.109:4022/rtp/239.254.201.4:5291
双滦电视,http://106.8.124.109:4022/rtp/239.254.201.63:5293
兴隆电视,http://106.8.124.109:4022/rtp/239.254.201.95:5295
隆化电视,http://106.8.124.109:4022/rtp/239.254.201.142:5296
鹿泉电视,http://106.8.124.109:4022/rtp/239.254.201.204:6166
任县电视,http://106.8.124.109:4022/rtp/239.254.201.115:5381
邯山电视,http://106.8.124.109:4022/rtp/239.254.201.116:5225
崇礼电视,http://106.8.124.109:4022/rtp/239.254.201.117:5267
顺平电视,http://106.8.124.109:4022/rtp/239.254.201.118:6257
张北电视,http://106.8.124.109:4022/rtp/239.254.201.130:5271
邱县电视,http://106.8.124.109:4022/rtp/239.254.201.129:6209
赤城电视,http://106.8.124.109:4022/rtp/239.254.201.131:5269
康保电视,http://106.8.124.109:4022/rtp/239.254.201.135:5270
遵化电视,http://106.8.124.109:4022/rtp/239.254.201.146:5202
昌黎电视,http://106.8.124.109:4022/rtp/239.254.201.61:5230
抚宁电视,http://106.8.124.109:4022/rtp/239.254.201.213:5232
卢龙电视,http://106.8.124.109:4022/rtp/239.254.201.216:5233
丰南电视,http://106.8.124.109:4022/rtp/239.254.200.218:5186
迁西电视,http://106.8.124.109:4022/rtp/239.254.201.26:5188
滦南电视,http://106.8.124.109:4022/rtp/239.254.201.22:5191
玉田电视,http://106.8.124.109:4022/rtp/239.254.201.28:5194
滦州电视,http://106.8.124.109:4022/rtp/239.254.201.30:5196
香河电视,http://106.8.124.109:4022/rtp/239.254.201.32:5306
大城电视,http://106.8.124.109:4022/rtp/239.254.201.34:5308
大厂电视,http://106.8.124.109:4022/rtp/239.254.201.71:5310
固安电视,http://106.8.124.109:4022/rtp/239.254.201.101:5312
文安电视,http://106.8.124.109:4022/rtp/239.254.201.103:5314
三河电视,http://106.8.124.109:4022/rtp/239.254.201.113:5315
永清电视,http://106.8.124.109:4022/rtp/239.254.201.141:5316
